"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"7.20","0.23","0.32","8.50","0.058","47.00","186.00","0.9956","3.19","0.40","9.90","6"
"7.90","0.18","0.37","1.20","0.04","16.00","75.00","0.992","3.18","0.63","10.80","5"
"8.30","0.42","0.62","19.25","0.04","41.00","172.00","1.0002","2.98","0.67","9.70","5"
"6.60","0.17","0.38","1.50","0.032","28.00","112.00","0.9914","3.25","0.55","11.40","7"
"6.40","0.31","0.38","2.90","0.038","19.00","102.00","0.9912","3.17","0.35","11.00","7"
"6.90","0.24","0.35","1.00","0.052","35.00","146.00","0.993","3.45","0.44","10.00","6"
"7.00","0.28","0.39","8.70","0.051","32.00","141.00","0.9961","3.38","0.53","10.50","6"
"5.80","0.27","0.20","14.95","0.044","22.00","179.00","0.9962","3.37","0.37","10.20","5"
"7.30","0.28","0.43","1.70","0.08","21.00","123.00","0.9905","3.19","0.42","12.80","5"
"7.30","0.24","0.39","17.95","0.057","45.00","149.00","0.9999","3.21","0.36","8.60","5"
"7.00","0.31","0.26","7.40","0.069","28.00","160.00","0.9954","3.13","0.46","9.80","6"
"7.40","0.18","0.31","1.40","0.058","38.00","167.00","0.9931","3.16","0.53","10.00","7"
"6.20","0.46","0.25","4.40","0.066","62.00","207.00","0.9939","3.25","0.52","9.80","5"
"7.00","0.31","0.26","7.40","0.069","28.00","160.00","0.9954","3.13","0.46","9.80","6"
"6.60","0.25","0.29","1.10","0.068","39.00","124.00","0.9914","3.34","0.58","11.00","7"
"6.90","0.25","0.35","1.30","0.039","29.00","191.00","0.9908","3.13","0.52","11.00","6"
"7.40","0.20","0.36","1.20","0.038","44.00","111.00","0.9926","3.36","0.34","9.90","6"
"6.80","0.22","0.24","4.90","0.092","30.00","123.00","0.9951","3.03","0.46","8.60","6"
"7.00","0.47","0.07","1.10","0.035","17.00","151.00","0.991","3.02","0.34","10.50","5"
"6.70","0.23","0.31","2.10","0.046","30.00","96.00","0.9926","3.33","0.64","10.70","8"
"6.70","0.23","0.31","2.10","0.046","30.00","96.00","0.9926","3.33","0.64","10.70","8"
"7.40","0.24","0.29","10.10","0.05","21.00","105.00","0.9962","3.13","0.35","9.50","5"
"7.10","0.18","0.36","1.40","0.043","31.00","87.00","0.9898","3.26","0.37","12.70","7"
"7.00","0.32","0.34","1.30","0.042","20.00","69.00","0.9912","3.31","0.65","12.00","7"
"7.40","0.18","0.30","8.80","0.064","26.00","103.00","0.9961","2.94","0.56","9.30","5"
"7.10","0.34","0.20","6.10","0.063","47.00","164.00","0.9946","3.17","0.42","10.00","5"
"7.20","0.39","0.63","11.00","0.044","55.00","156.00","0.9974","3.09","0.44","8.70","6"
"6.90","0.24","0.33","1.70","0.035","47.00","136.00","0.99","3.26","0.40","12.60","7"
"7.50","0.17","0.32","1.70","0.04","51.00","148.00","0.9916","3.21","0.44","11.50","7"
"8.60","0.265","0.36","1.20","0.034","15.00","80.00","0.9913","2.95","0.36","11.40","7"
"6.00","0.34","0.66","15.90","0.046","26.00","164.00","0.9979","3.14","0.50","8.80","6"
"6.90","0.33","0.28","1.30","0.051","37.00","187.00","0.9927","3.27","0.60","10.30","5"
"7.20","0.31","0.50","13.30","0.056","68.00","195.00","0.9982","3.01","0.47","9.20","5"
"5.50","0.485","0.00","1.50","0.065","8.00","103.00","0.994","3.63","0.40","9.70","4"
"7.00","0.14","0.40","1.70","0.035","16.00","85.00","0.9911","3.19","0.42","11.80","6"
"7.40","0.16","0.31","6.85","0.059","31.00","131.00","0.9952","3.29","0.34","9.70","5"
"6.40","0.13","0.47","1.60","0.092","40.00","158.00","0.9928","3.21","0.36","9.80","6"
"7.40","0.39","0.23","7.00","0.033","29.00","126.00","0.994","3.14","0.42","10.50","5"
"6.50","0.24","0.32","7.60","0.038","48.00","203.00","0.9958","3.45","0.54","9.70","7"
"6.10","0.30","0.56","2.80","0.044","47.00","179.00","0.9924","3.30","0.57","10.90","7"
"6.50","0.24","0.32","7.60","0.038","48.00","203.00","0.9958","3.45","0.54","9.70","7"
"6.50","0.425","0.40","13.10","0.038","59.00","241.00","0.9979","3.23","0.57","9.00","5"
"7.10","0.37","0.67","10.50","0.045","49.00","155.00","0.9975","3.16","0.44","8.70","5"
"6.30","0.31","0.34","2.20","0.045","20.00","77.00","0.9927","3.30","0.43","10.20","5"
"7.90","0.21","0.40","1.20","0.039","38.00","107.00","0.992","3.21","0.54","10.80","6"
"5.60","0.16","0.27","1.40","0.044","53.00","168.00","0.9918","3.28","0.37","10.10","6"
"6.40","0.595","0.14","5.20","0.058","15.00","97.00","0.9951","3.38","0.36","9.00","4"
"7.90","0.22","0.38","8.00","0.043","46.00","152.00","0.9934","3.12","0.32","11.50","7"
"7.60","0.18","0.46","10.20","0.055","58.00","135.00","0.9968","3.14","0.43","9.90","6"
"8.20","0.23","0.40","7.50","0.049","12.00","76.00","0.9966","3.06","0.84","9.70","6"
"7.40","0.24","0.42","14.00","0.066","48.00","198.00","0.9979","2.89","0.42","8.90","6"
"6.10","0.32","0.24","1.50","0.036","38.00","124.00","0.9898","3.29","0.42","12.40","7"
"7.00","0.23","0.36","13.00","0.051","72.00","177.00","0.9972","3.16","0.49","9.80","5"
"7.60","0.48","0.37","0.80","0.037","4.00","100.00","0.9902","3.03","0.39","11.40","4"
"6.30","0.22","0.43","4.55","0.038","31.00","130.00","0.9918","3.35","0.33","11.50","7"
"7.20","0.32","0.47","5.10","0.044","19.00","65.00","0.991","3.03","0.41","12.60","4"
"5.90","0.23","0.30","12.90","0.054","57.00","170.00","0.9972","3.28","0.39","9.40","5"
"6.00","0.67","0.07","1.20","0.06","9.00","108.00","0.9931","3.11","0.35","8.70","4"
"6.40","0.25","0.32","5.50","0.049","41.00","176.00","0.995","3.19","0.68","9.20","6"
"7.10","0.34","0.15","1.20","0.053","61.00","183.00","0.9936","3.09","0.43","9.20","5"
"6.80","0.28","0.40","22.00","0.048","48.00","167.00","1.001","2.93","0.50","8.70","5"
"5.90","0.30","0.23","4.20","0.038","42.00","119.00","0.9924","3.15","0.50","11.00","5"
"6.80","0.53","0.35","3.80","0.034","26.00","109.00","0.9906","3.26","0.57","12.70","8"
"6.80","0.28","0.36","8.00","0.045","28.00","123.00","0.9928","3.02","0.37","11.40","6"
"6.40","0.29","0.44","3.60","0.197","75.00","183.00","0.9942","3.01","0.38","9.10","5"
"6.80","0.26","0.24","7.80","0.052","54.00","214.00","0.9961","3.13","0.47","8.90","5"
"6.80","0.26","0.24","7.80","0.052","54.00","214.00","0.9961","3.13","0.47","8.90","5"
"6.80","0.27","0.26","16.10","0.049","55.00","196.00","0.9984","3.15","0.50","9.30","5"
"6.70","0.13","0.29","5.30","0.051","31.00","122.00","0.9944","3.44","0.37","9.70","6"
"6.20","0.25","0.25","1.40","0.03","35.00","105.00","0.9912","3.30","0.44","11.10","7"
"7.20","0.685","0.21","9.50","0.07","33.00","172.00","0.9971","3.00","0.55","9.10","6"
"6.50","0.19","0.30","0.80","0.043","33.00","144.00","0.9936","3.42","0.39","9.10","6"
"6.40","0.17","0.32","2.40","0.048","41.00","200.00","0.9938","3.50","0.50","9.70","6"
"7.10","0.25","0.32","10.30","0.041","66.00","272.00","0.9969","3.17","0.52","9.10","6"
"6.80","0.64","0.08","9.70","0.062","26.00","142.00","0.9972","3.37","0.46","8.90","4"
"7.20","0.23","0.38","14.30","0.058","55.00","194.00","0.9979","3.09","0.44","9.00","6"
"7.30","0.32","0.23","13.70","0.05","49.00","197.00","0.9985","3.20","0.46","8.70","5"
"6.10","0.18","0.36","2.00","0.038","20.00","249.50","0.9923","3.37","0.79","11.30","6"
"6.10","0.41","0.14","10.40","0.037","18.00","119.00","0.996","3.38","0.45","10.00","5"
"8.50","0.26","0.21","16.20","0.074","41.00","197.00","0.998","3.02","0.50","9.80","3"
"6.30","0.35","0.30","5.70","0.035","8.00","97.00","0.9927","3.27","0.41","11.00","7"
"6.40","0.23","0.39","1.80","0.032","23.00","118.00","0.9912","3.32","0.50","11.80","6"
"5.80","0.36","0.38","0.90","0.037","3.00","75.00","0.9904","3.28","0.34","11.40","4"
"6.90","0.29","0.40","19.45","0.043","36.00","156.00","0.9996","2.93","0.47","8.90","5"
"6.20","0.24","0.35","1.20","0.038","22.00","167.00","0.9912","3.10","0.48","10.60","6"
"5.30","0.58","0.07","6.90","0.043","34.00","149.00","0.9944","3.34","0.57","9.70","5"
"6.90","0.32","0.26","8.30","0.053","32.00","180.00","0.9965","3.25","0.51","9.20","6"
"6.70","0.20","0.41","9.10","0.044","50.00","166.00","0.9954","3.14","0.58","9.80","6"
"7.70","0.26","0.40","1.10","0.042","9.00","60.00","0.9915","2.89","0.50","10.60","5"
"7.20","0.23","0.39","14.20","0.058","49.00","192.00","0.9979","2.98","0.48","9.00","7"
"7.20","0.23","0.39","14.20","0.058","49.00","192.00","0.9979","2.98","0.48","9.00","7"
"6.20","0.28","0.22","7.30","0.041","26.00","157.00","0.9957","3.44","0.64","9.80","7"
"7.20","0.19","0.46","3.80","0.041","82.00","187.00","0.9932","3.19","0.60","11.20","7"
"6.70","0.17","0.50","2.10","0.043","27.00","122.00","0.9923","3.15","0.45","10.30","6"
"6.10","0.41","0.00","1.60","0.063","36.00","87.00","0.9914","3.27","0.67","10.80","6"
"8.30","0.20","0.35","0.90","0.05","12.00","74.00","0.992","3.13","0.38","10.50","6"
"7.30","0.41","0.24","6.80","0.057","41.00","163.00","0.9949","3.20","0.41","9.90","6"
"5.00","0.55","0.14","8.30","0.032","35.00","164.00","0.9918","3.53","0.51","12.50","8"
"5.70","0.36","0.21","6.70","0.038","51.00","166.00","0.9941","3.29","0.63","10.00","6"
"6.80","0.28","0.60","1.10","0.132","42.00","127.00","0.9934","3.09","0.44","9.10","6"
"6.80","0.25","0.34","4.70","0.031","34.00","134.00","0.9927","3.21","0.38","10.60","6"
"6.60","0.24","0.35","7.70","0.031","36.00","135.00","0.9938","3.19","0.37","10.50","5"
"6.10","0.125","0.25","3.30","0.04","10.00","69.00","0.9934","3.54","0.59","10.10","6"
"6.00","0.10","0.24","1.10","0.041","15.00","65.00","0.9927","3.61","0.61","10.30","7"
