"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"7.00","0.27","0.36","20.70","0.045","45.00","170.00","1.001","3.00","0.45","8.80","6"
"6.30","0.30","0.34","1.60","0.049","14.00","132.00","0.994","3.30","0.49","9.50","6"
"8.10","0.28","0.40","6.90","0.05","30.00","97.00","0.9951","3.26","0.44","10.10","6"
"7.20","0.23","0.32","8.50","0.058","47.00","186.00","0.9956","3.19","0.40","9.90","6"
"8.10","0.28","0.40","6.90","0.05","30.00","97.00","0.9951","3.26","0.44","10.10","6"
"6.20","0.32","0.16","7.00","0.045","30.00","136.00","0.9949","3.18","0.47","9.60","6"
"7.00","0.27","0.36","20.70","0.045","45.00","170.00","1.001","3.00","0.45","8.80","6"
"6.30","0.30","0.34","1.60","0.049","14.00","132.00","0.994","3.30","0.49","9.50","6"
"8.10","0.22","0.43","1.50","0.044","28.00","129.00","0.9938","3.22","0.45","11.00","6"
"8.10","0.27","0.41","1.45","0.033","11.00","63.00","0.9908","2.99","0.56","12.00","5"
"8.60","0.23","0.40","4.20","0.035","17.00","109.00","0.9947","3.14","0.53","9.70","5"
"6.60","0.16","0.40","1.50","0.044","48.00","143.00","0.9912","3.54","0.52","12.40","7"
"6.30","0.48","0.04","1.10",,"30.00","99.00","0.9928","3.24","0.36","9.60","6"
"6.20","0.66","0.48","1.20","0.029","29.00","75.00","0.9892","3.33","0.39","12.80","8"
"7.40","0.34","0.42","1.10","0.033","17.00","171.00","0.9917","3.12","0.53","11.30","6"
"6.50","0.31","0.14","7.50","0.044","34.00","133.00","0.9955","3.22","0.50","9.50","5"
"6.20","0.66","0.48","1.20","0.029","29.00","75.00","0.9892","3.33","0.39","12.80","8"
"6.80","0.26","0.42","1.70","0.049","41.00","122.00","0.993","3.47","0.48","10.50","8"
"7.60","0.67","0.14","1.50","0.074","25.00","168.00","0.9937","3.05","0.51","9.30","5"
"6.60","0.27","0.41","1.30","0.052","16.00","142.00","0.9951","3.42","0.47","10.00","6"
"7.00","0.25","0.32","9.00",,"56.00","245.00","0.9955","3.25","0.50","10.40","6"
"7.40","0.27","0.48","1.10","0.047","17.00","132.00","0.9914","3.19","0.49","11.60","6"
"7.20","0.32","0.36","2.00","0.033","37.00","114.00","0.9906","3.10","0.71","12.30","7"
"8.50","0.24","0.39","10.40","0.044","20.00","142.00","0.9974","3.20","0.53","10.00","6"
"8.30","0.14","0.34","1.10","0.042","7.00","47.00","0.9934","3.47","0.40","10.20","6"
"7.40","0.25","0.36","2.05","0.05","31.00","100.00","0.992","3.19","0.44","10.80","6"
"6.20","0.12","0.34","1.50","0.045","43.00","117.00","0.9939","3.42","0.51","9.00","6"
"6.50","0.39","0.23","5.40","0.051","25.00","149.00","0.9934","3.24","0.35","10.00","5"
"7.00","0.33","0.32","1.20","0.053","38.00","138.00","0.9906","3.13","0.28","11.20","6"
"7.30","0.24","0.39","17.95","0.057","45.00","149.00","0.9999","3.21","0.36","8.60","5"
"6.70","0.23","0.39","2.50","0.172","63.00","158.00","0.9937","3.11","0.36","9.40","6"
"6.70","0.24","0.39","2.90","0.173","63.00","157.00","0.9937","3.10","0.34","9.40","6"
"6.60","0.24","0.27","1.40","0.057","33.00","152.00","0.9934","3.22","0.56","9.50","6"
"6.70","0.23","0.26","1.40","0.06","33.00","154.00","0.9934","3.24","0.56","9.50","6"
"6.20","0.45","0.26","4.40","0.063","63.00","206.00","0.994","3.27","0.52","9.80","4"
"6.90","0.19","0.35","5.00","0.067","32.00","150.00","0.995","3.36","0.48","9.80","5"
"7.20","0.19","0.31","1.60","0.062","31.00","173.00","0.9917","3.35","0.44","11.70","6"
"6.20","0.16","0.33","1.10","0.057","21.00","82.00","0.991","3.32","0.46","10.90","7"
"6.40","0.18","0.35","1.00","0.045","39.00","108.00","0.9911","3.31","0.35","10.90","6"
"6.80","0.20","0.59","0.90","0.147","38.00","132.00","0.993","3.05","0.38","9.10","6"
"7.20","0.21","0.34","11.90","0.043","37.00","213.00","0.9962","3.09","0.50","9.60","6"
"6.00","0.19","0.26","12.40","0.048","50.00","147.00","0.9972","3.30","0.36","8.90","6"
"6.60","0.38","0.15","4.60","0.044","25.00","78.00","0.9931","3.11","0.38","10.20","6"
"6.00","0.19","0.26","12.40","0.048","50.00","147.00","0.9972","3.30","0.36","8.90","6"
"6.60","0.38","0.15","4.60","0.044","25.00","78.00","0.9931","3.11","0.38","10.20","6"
"7.20","0.24","0.27","1.40","0.038","31.00","122.00","0.9927","3.15","0.46","10.30","6"
"6.20","0.35","0.03","1.20","0.064","29.00","120.00","0.9934","3.22","0.54","9.10","5"
"6.40","0.26","0.24","6.40","0.04","27.00","124.00","0.9903","3.22","0.49","12.60","7"
"6.70","0.25","0.13","1.20","0.041","81.00","174.00","0.992","3.14","0.42","9.80","5"
"7.40","0.24","0.29","10.10","0.05","21.00","105.00","0.9962","3.13","0.35","9.50","5"
"6.20","0.27","0.43","7.80","0.056","48.00","244.00","0.9956","3.10","0.51","9.00","6"
"6.80","0.30","0.23","4.60","0.061","50.50","238.50","0.9958","3.32","0.60","9.50","5"
"6.00","0.27","0.28","4.80","0.063","31.00","201.00","0.9964","3.69","0.71","10.00","5"
"8.60","0.23","0.46","1.00","0.054","9.00","72.00","0.9941","2.95","0.49","9.10","6"
"6.70","0.54","0.28","5.40","0.06","21.00","105.00","0.9949","3.27","0.37","9.00","5"
"6.80","0.22","0.31","1.40","0.053","34.00","114.00","0.9929","3.39","0.77","10.60","6"
"7.10","0.20","0.34","16.00","0.05","51.00","166.00","0.9985","3.21","0.60","9.20","6"
"7.30","0.22","0.30","8.20","0.047","42.00","207.00","0.9966","3.33","0.46","9.50","6"
"7.10","0.43","0.61","11.80","0.045","54.00","155.00","0.9974","3.11","0.45","8.70","5"
"7.10","0.44","0.62","11.80","0.044","52.00","152.00","0.9975","3.12","0.46","8.70","6"
"6.80","0.25","0.31","13.30","0.05","69.00","202.00","0.9972","3.22","0.48","9.70","6"
"7.10","0.43","0.61","11.80","0.045","54.00","155.00","0.9974","3.11","0.45","8.70","5"
"7.10","0.44","0.62","11.80","0.044","52.00","152.00","0.9975","3.12","0.46","8.70","6"
"7.20","0.39","0.63","11.00","0.044","55.00","156.00","0.9974","3.09","0.44","8.70","6"
"6.10","0.27","0.43","7.50","0.049","65.00","243.00","0.9957","3.12","0.47","9.00","5"
"6.90","0.21","0.33","1.80","0.034","48.00","136.00","0.9899","3.25","0.41","12.60","7"
"7.10","0.26","0.29","12.40","0.044","62.00","240.00","0.9969","3.04","0.42","9.20","6"
"6.00","0.34","0.66","15.90","0.046","26.00","164.00","0.9979","3.14","0.50","8.80","6"
"9.80","0.36","0.46","10.50","0.038","4.00","83.00","0.9956","2.89","0.30","10.10","4"
"7.40","0.25","0.37","13.50","0.06","52.00","192.00","0.9975","3.00","0.44","9.10","5"
"7.10","0.12","0.32","9.60","0.054","64.00","162.00","0.9962","3.40","0.41","9.40","5"
"6.00","0.21","0.24","12.10","0.05","55.00","164.00","0.997","3.34","0.39","9.40","5"
"7.50","0.305","0.40","18.90","0.059","44.00","170.00","1.00","2.99","0.46","9.00","5"
"7.40","0.25","0.37","13.50","0.06","52.00","192.00","0.9975","3.00","0.44","9.10","5"
"7.30","0.13","0.32","14.40","0.051","34.00","109.00","0.9974","3.20","0.35","9.20","6"
"7.10","0.12","0.32","9.60","0.054","64.00","162.00","0.9962","3.40","0.41","9.40","5"
"7.10","0.23","0.35","16.50","0.04","60.00","171.00","0.999","3.16","0.59","9.10","6"
"7.10","0.23","0.35","16.50","0.04","60.00","171.00","0.999","3.16","0.59","9.10","6"
"6.50","0.17","0.54","8.50","0.082","64.00","163.00","0.9959","2.89","0.39","8.80","6"
"7.20","0.27","0.46","18.75","0.052","45.00","255.00","1.00","3.04","0.52","8.90","5"
"6.70","0.41","0.34","9.20","0.049","29.00","150.00","0.9968","3.22","0.51","9.10","5"
"6.70","0.41","0.34","9.20","0.049","29.00","150.00","0.9968","3.22","0.51","9.10","5"
"6.00","0.31","0.24","3.30","0.041","25.00","143.00","0.9914","3.31","0.44","11.30","6"
"7.20","0.31","0.50","13.30","0.056","68.00","195.00","0.9982","3.01","0.47","9.20","5"
"7.30","0.32","0.48","13.30","0.06","57.00","196.00","0.9982","3.04","0.50","9.20","5"
"5.90","0.36","0.04","5.70","0.046","21.00","87.00","0.9934","3.22","0.51","10.20","5"
"7.80","0.24","0.32","12.20","0.054","42.00","138.00","0.9984","3.01","0.54","8.80","5"
"6.90","0.19","0.28","5.00","0.058","14.00","146.00","0.9952","3.29","0.36","9.10","6"
"6.70","0.19","0.36","1.10","0.026","63.00","143.00","0.9912","3.27","0.48","11.00","6"
"6.10","0.30","0.56","2.70",,"46.00","184.00","0.9924","3.31","0.57","10.90","6"
"5.70","0.26","0.25","10.40","0.02","7.00","57.00","0.994","3.39","0.37","10.60","5"
"6.60","0.24","0.27","15.80","0.035","46.00","188.00","0.9982","3.24","0.51","9.20","5"
"6.80","0.27","0.22","8.10","0.034","55.00","203.00","0.9961","3.19","0.52","8.90","5"
"6.70","0.27","0.31","15.70","0.036","44.00","179.00","0.9979","3.26","0.56","9.60","5"
"8.20","0.23","0.40","1.20","0.027","36.00","121.00","0.992","3.12","0.38","10.70","6"
"6.80","0.19","0.36","1.90","0.035","30.00","96.00","0.9917","3.15","0.54","10.80","7"
"8.10","0.28","0.39","1.90","0.029","18.00","79.00","0.9923","3.23","0.52","11.80","6"
"7.10","0.37","0.67","10.50","0.045","49.00","155.00","0.9975","3.16","0.44","8.70","5"
"8.50","0.21","0.41","4.30","0.036","24.00","99.00","0.9947","3.18","0.53","9.70","6"
"8.10","0.20","0.40","2.00","0.037","19.00","87.00","0.9921","3.12","0.54","11.20","6"
"6.30","0.255","0.37","1.10","0.04","37.00","114.00","0.9905","3.00","0.39","10.90","6"
"6.30","0.34","0.33","4.60","0.034","19.00","80.00","0.9917","3.38","0.58","12.00","7"
"6.90","0.25","0.30","4.10","0.054","23.00","116.00","0.994","2.99","0.38","9.40","6"
"6.90","0.25","0.30","4.10","0.054","23.00","116.00","0.994","2.99","0.38","9.40","6"
"7.20","0.18","0.41","1.20","0.048","41.00","97.00","0.9919","3.14","0.45","10.40","5"
"7.40","0.24","0.42","14.00","0.066","48.00","198.00","0.9979","2.89","0.42","8.90","6"
"6.10","0.32","0.24","1.50","0.036","38.00","124.00","0.9898","3.29","0.42","12.40","7"
